study_id,citation,year,domain_top1,domain_top1_conf,domain_top2,domain_top2_conf,domain_top3,domain_top3_conf,region_top1,region_top1_conf,region_top2,region_top2_conf,region_top3,region_top3_conf,reliability_top1,reliability_top1_conf,reliability_top2,reliability_top2_conf,reliability_top3,reliability_top3_conf,confidence_score,notes
study_0278,"Aulsebrook, S",1939,Archaeology,0.567,Settlement Archaeology,0.485,Cognitive Archaeology,0.472,Egypt,0.152,Southern Levant,0.15,Sinai,0.073,Medium,0.017,High,-0.001,Low,-0.016,0.245,"Aulsebrook, S. Aulsebrook, Stephanie (57000447200) 57000447200 The impact of archaeological recording on the study of metal artefacts. mycenae 1939: A case study 2022 Annual of the British School at A"
study_0279,"Genchi, F",2022,Stratigraphy,0.386,Radiocarbon Chronology,0.38,Epigraphy,0.357,Southern Levant,0.287,Egypt,0.26,Sinai,0.206,Medium,0.001,Low,-0.009,High,-0.039,0.224,"Genchi, F.; Tursi, G. Genchi, Francesco (16425281700); Tursi, Giampiero (57835806200) 16425281700; 57835806200 The softstone vessels assemblage from the Long Collective Grave 1 (LCG-1) at Dibbā al-Bay"
study_0280,"Tian, D",1964,Isotope Geochemistry,0.262,Stratigraphy,0.222,Artifact Typology,0.213,Sinai,0.104,Southern Levant,0.084,Egypt,0.038,Low,0.094,Medium,0.09,High,0.056,0.153,"Tian, D.; Sun, Y.; Ritchey, M.M.; Xi, T.; Ren, M.; Ma, J.; Wang, J.; Zhao, Z.; Ling, X.; Liu, X. Tian, Duo (57196452430); Sun, Yufeng (57220959831); Ritchey, Melissa M. (57220956468); Xi, Tongyuan (57"
study_0281,"Simčenka, E",2019,Radiocarbon Chronology,0.502,Isotope Geochemistry,0.4,Paleoclimatology,0.343,Southern Levant,0.122,Egypt,0.099,Sinai,0.073,High,0.0,Low,-0.004,Medium,-0.025,0.208,"Simčenka, E.; Kozakaitė, J.; Piličiauskiene, G.; Gaižauskas, L.; Piličiauskas, G. Simčenka, Edvardas (57216484211); Kozakaitė, Justina (56367833800); Piličiauskiene, Giedre (52864398600); Gaižauskas, "
study_0282,"Polo Romero, L",1939,Geoarchaeology,0.305,Cartography,0.298,Volcanology,0.29,Southern Levant,0.116,Sinai,0.102,Egypt,0.079,High,0.1,Low,0.068,Medium,0.054,0.174,"Polo Romero, L.A.; Manzanares, D.M. Polo Romero, L. Alberto (57919394400); Manzanares, Diana Morales (57214144573) 57919394400; 57214144573 Cogotas I in Madrid’s Countryside: An Analysis on the Relati"
study_0283,"Valenzuela-Suau, L",1800,Bioarchaeology,0.322,Zooarchaeology,0.321,Archaeology,0.274,Southern Levant,0.181,Egypt,0.11,Sinai,0.081,High,0.029,Medium,0.027,Low,0.007,0.177,"Valenzuela-Suau, L.; Valenzuela-Lama, S.; Salvà, B.; Fornés, J.; Javaloyas Molina, D.; Oliver, L.; Rivals, F.; Bosch, D. Valenzuela-Suau, Lua (56015758300); Valenzuela-Lama, Sílvia (58875311800); Salv"
study_0284,"Niebieszczański, J",2020,Geoarchaeology,0.437,Landscape Archaeology,0.383,Archaeology,0.38,Southern Levant,0.144,Sinai,0.108,Egypt,0.082,Low,0.004,Medium,-0.003,High,-0.006,0.195,"Niebieszczański, J.; Bahyrycz, C.; Żurkiewicz, D.; Szambelan, W. Niebieszczański, Jakub (57202014001); Bahyrycz, Cezary (57218902363); Żurkiewicz, Danuta (57203268367); Szambelan, Witold (57843910100)"
study_0285,"Virginia Alves Martins, M",2012,Ceramic Analysis,0.19,Volcanology,0.166,Epigraphy,0.158,Southern Levant,0.152,Sinai,0.12,Egypt,0.078,Low,0.098,High,0.097,Medium,0.061,0.146,"Virginia Alves Martins, M.; Cazelli, L.; Yhasnara, M.; da CristineSilva, L.; Barros Saibro, M.; Bobco, F.E.R.; Rubio, B.; Ferreira, B.; Castelo, W.F.L.; Santos, J.F.; Ribeiro, S.; Frontalini, F.; Mart"
study_0286,"Someeh, H",2022,Archaeology,0.416,Radiocarbon Chronology,0.34,Stratigraphy,0.326,Egypt,0.272,Southern Levant,0.205,Sinai,0.17,High,0.001,Low,-0.032,Medium,-0.034,0.23,"Someeh, H.N.; Nobari, A.H.; Konyar, E. Someeh, Hossein Naseri (57363653200); Nobari, Alireza Hejebri (36099653200); Konyar, Erkan (8078436500) 57363653200; 36099653200; 8078436500 Archaeology of Qara "
study_0287,"Demurtas, L",2022,Stratigraphy,0.476,Paleoclimatology,0.408,Hydrology,0.398,Southern Levant,0.17,Egypt,0.112,Sinai,0.108,High,0.027,Low,-0.023,Medium,-0.071,0.224,"Demurtas, L.; Bruno, L.; Lugli, S.; Fontana, D. Demurtas, Luca (58316112500); Bruno, Luigi (7103374701); Lugli, Stefano (55926439900); Fontana, Daniela (7102369253) 58316112500; 7103374701; 5592643990"
study_0288,"Manning, S",2022,Volcanology,0.54,Geoarchaeology,0.368,Paleoclimatology,0.343,Egypt,0.172,Southern Levant,0.172,Sinai,0.16,High,0.009,Medium,-0.014,Low,-0.039,0.24,"Manning, S.W. Manning, Sturt W. (7103371157) 7103371157 Second Intermediate Period date for the Thera (Santorini) eruption and historical implications 2022 PLOS ONE 17 9 September e0274835 0 10.1371/j"
study_0289,"Iacono, F",2090,Epigraphy,0.256,Isotope Geochemistry,0.245,Paleoclimatology,0.234,Sinai,0.184,Southern Levant,0.146,Egypt,0.129,High,0.068,Low,0.024,Medium,-0.005,0.169,"Iacono, F.; Borgna, E.; Cattani, M.; Cavazzuti, C.; Dawson, H.; Galanakis, Y.; Gori, M.; Iaia, C.; Ialongo, N.; Lachenal, T.; Lorrio Alvarado, A.; Micó, R.; Molloy, B.; Nafplioti, A.; Pêche-Quilichini"
study_0290,"Oğuz-Kırca, E",2022,Ethnohistory,0.252,Philology,0.231,Comparative Mythology,0.208,Egypt,0.196,Sinai,0.119,Southern Levant,0.117,High,0.076,Medium,0.063,Low,0.041,0.175,"Oğuz-Kırca, E.D. Oğuz-Kırca, Eser Deniz (56403412200) 56403412200 Two Identities As Local and Adapted(?): Hemithea and Eileityhia; Yerel ve Devsirme? Iki Kimlik: Hemithea ve Eileithyia 2022 Belleten 8"
study_0291,"Richards, M",1953,Meta-Analysis,0.19,Epigraphy,0.16,Paleoclimatology,0.147,Sinai,0.119,Southern Levant,0.103,Egypt,0.049,Low,0.113,High,0.092,Medium,0.074,0.141,"Richards, M.P.; Smith, C.; Nehlich, O.; Grimes, V.; Weston, D.; Mittnik, A.; Krause, J.; Dobney, K.; Tzedakis, Y.; Martlew, H. Richards, Michael P. (55953686600); Smith, Colin I. (7501659689); Nehlich"
study_0292,"Berger, D",2022,Archaeology,0.408,Artifact Typology,0.362,Radiocarbon Chronology,0.357,Egypt,0.121,Southern Levant,0.115,Sinai,0.066,Medium,0.048,High,0.023,Low,-0.002,0.192,"Berger, D.; Brügmann, G.; Friedrich, R.; Lutz, J.; Meyer, H.-P.; Pernicka, E. Berger, Daniel (56539352300); Brügmann, Gerhard E. (7003762925); Friedrich, Ronny (56999926500); Lutz, Joachim (3669649680"
study_0293,"Schreiber, F",2022,Archaeology,0.526,Cognitive Archaeology,0.443,Settlement Archaeology,0.434,Southern Levant,0.141,Egypt,0.136,Sinai,0.104,Medium,0.034,High,0.034,Low,0.019,0.234,"Schreiber, F.A. Schreiber, Finn A. (57787071600) 57787071600 Social and chronological aspects of the Late Bronze age burial site of Kokcha 3 (Uzbekistan) 2022 Journal of Archaeological Science: Report"
study_0294,"Shishlina, N",2015,Radiocarbon Chronology,0.388,Stratigraphy,0.382,Archaeology,0.365,Southern Levant,0.19,Egypt,0.182,Sinai,0.089,Medium,0.029,High,0.019,Low,0.012,0.202,"Shishlina, N.I.; Loboda, A.Y.; Bogdanov, S.V.; Vaschenkova, E.S.; Tereschenko, E.Y. Shishlina, Natalia I. (6505938328); Loboda, Anastasia Yu (57201551151); Bogdanov, S. V. (57194182706); Vaschenkova, "
study_0295,"Riddick, N",1888,Radiocarbon Chronology,0.429,Stratigraphy,0.33,Archaeology,0.311,Southern Levant,0.116,Sinai,0.107,Egypt,0.088,Medium,0.035,Low,-0.007,High,-0.048,0.193,"Riddick, N.L.; Boyce, J.I.; Şahoǧlu, V.; Erkanal, H.; Tuğcu, İ.; Alkan, Y.; Reinhardt, E.G.; Goodman-Tchernov, B.N. Riddick, Nicholas L. (57188874933); Boyce, Joseph I. (7201747367); Şahoǧlu, Vasif (1"
study_0296,"Earle, T",2080,Archaeology,0.54,Settlement Archaeology,0.466,Cognitive Archaeology,0.434,Southern Levant,0.186,Egypt,0.159,Sinai,0.158,Medium,0.038,Low,0.022,High,0.013,0.255,"Earle, T.; Olsen, A.-L.H.; Eriksen, B.V.; Henriksen, P.S.; Kristensen, I.K. Earle, Timothy K. (6602101616); Olsen, Anne Louise Haack (57223336353); Eriksen, Berit Valentin (55745720800); Henriksen, Pe"
study_0297,"Llull Estarellas, B",1876,Radiocarbon Chronology,0.397,Isotope Geochemistry,0.381,Archaeology,0.369,Southern Levant,0.202,Egypt,0.174,Sinai,0.173,Medium,0.079,Low,0.008,High,0.007,0.226,"Llull Estarellas, B.; Perelló Mateo, L.; Calvo-Trias, M. Llull Estarellas, Bartomeu (57226187604); Perelló Mateo, Laura (57226195237); Calvo-Trias, Manuel (54891340100) 57226187604; 57226195237; 54891"
study_0298,"Basso Rial, R",2023,Radiocarbon Chronology,0.498,Stratigraphy,0.442,Isotope Geochemistry,0.385,Southern Levant,0.227,Sinai,0.155,Egypt,0.139,Medium,0.02,High,-0.029,Low,-0.031,0.248,"Basso Rial, R.E.; Jover Maestre, F.J.; López Padilla, J.A. Basso Rial, Ricardo E. (57202381226); Jover Maestre, Francisco Javier (57140639500); López Padilla, Juan Antonio (26631983900) 57202381226; 5"
study_0299,"Llull Estarellas, B",1876,Radiocarbon Chronology,0.284,Paleoclimatology,0.282,Stratigraphy,0.27,Southern Levant,0.126,Egypt,0.075,Sinai,0.032,Medium,0.065,High,0.063,Low,0.022,0.158,"Llull Estarellas, B.; Perelló Mateo, L.; Calvo-Trias, M. Llull Estarellas, Bartomeu (57226187604); Perelló Mateo, Laura (57226195237); Calvo-Trias, Manuel (54891340100) 57226187604; 57226195237; 54891"
study_0302,"Susnow, M",2001,Archaeology,0.466,Cognitive Archaeology,0.447,Settlement Archaeology,0.384,Southern Levant,0.396,Sinai,0.242,Egypt,0.22,High,-0.021,Low,-0.062,Medium,-0.066,0.281,"Susnow, M. Susnow, Matthew (57200142662) 57200142662 Toward a Methodology for Identifying Ritual in the Archaeological Record: A Case Study from the Southern Levant 2022 Journal of Religion 102 3 376 "
study_0300,"Vignola, C",1960,Paleoclimatology,0.16,Meta-Analysis,0.16,Epigraphy,0.156,Sinai,0.21,Southern Levant,0.184,Egypt,0.107,High,0.072,Low,0.064,Medium,0.058,0.147,"Vignola, C.; Hättestrand, M.; Bonnier, A.; Finné, M.; Izdebski, A.; Katrantsiotis, C.; Kouli, K.; Liakopoulos, G.C.; Norström, E.; Papadaki, M.; Strandberg, N.A.; Weiberg, E.; Masi, A. Vignola, Cristi"
study_0301,"Moore, M",1908,Radiocarbon Chronology,0.404,Stratigraphy,0.359,Archaeology,0.335,Sinai,0.241,Egypt,0.236,Southern Levant,0.214,High,0.102,Low,0.058,Medium,0.039,0.249,"Moore, M.W.; Weeks, L.; Cable, C.; al-Ali, Y.; Boraik, M.; Zein, H. Moore, Mark W. (7404470187); Weeks, Lloyd R. (7004568681); Cable, Charlotte Marie (57190834469); al-Ali, Yaaqoub Youssef (5720388661"
study_0303,"Goriachev, A",2020,Archaeology,0.548,Settlement Archaeology,0.536,Cognitive Archaeology,0.454,Egypt,0.183,Southern Levant,0.179,Sinai,0.083,Medium,0.031,High,-0.005,Low,-0.031,0.254,"Goriachev, A.; Frachetti, M. Goriachev, A. A. (57202091470); Frachetti, Michael David (26040591500) 57202091470; 26040591500 Traditions of Settlement in Bronze Age Zhetysu (Kazakhstan) 2022 Kazakhstan"
study_0304,"Kalieva, Z",2022,Ceramic Analysis,0.542,Archaeology,0.405,Isotope Geochemistry,0.399,Egypt,0.19,Southern Levant,0.173,Sinai,0.101,Medium,0.056,High,0.036,Low,0.014,0.263,"Kalieva, Z. Kalieva, Zhanargul S. (58090217400) 58090217400 General characteristics of ceramics from Bronze Age settlements Zhezkazgan-Ulytau region 2022 Kazakhstan Archeology 2022 2 121 135 0 10.5296"
study_0305,"Eshel, T",1946,Isotope Geochemistry,0.328,Radiocarbon Chronology,0.321,Archaeology,0.272,Southern Levant,0.329,Egypt,0.152,Sinai,0.15,Low,-0.007,Medium,-0.011,High,-0.017,0.217,"Eshel, T.; Erel, Y.; Yahalom-Mack, N.; Tirosh, O.; Gilboa, A. Eshel, Tzilla (23090983400); Erel, Yigal (7004222436); Yahalom-Mack, Naama (54781946400); Tirosh, Ofir (55389396600); Gilboa, Ayelet (6603"
study_0306,"Scott, A",2047,Meta-Analysis,0.192,Ceramic Analysis,0.116,Epigraphy,0.112,Sinai,0.05,Southern Levant,-0.01,Egypt,-0.051,Medium,0.058,Low,0.032,High,0.027,0.1,"Scott, A.; Reinhold, S.; Hermes, T.; Kalmykov, A.A.; Belinskiy, A.B.; Buzhilova, A.P.; Berezina, N.Y.; Kantorovich, A.R.; Maslov, V.E.; Guliyev, F.; Lyonnet, B.; Gasimov, P.; JALILOV, B.; Eminli, J.; "
study_0307,"Wang, T",2022,Radiocarbon Chronology,0.284,Paleoclimatology,0.264,Isotope Geochemistry,0.259,Southern Levant,0.021,Egypt,0.006,Sinai,-0.005,Medium,-0.021,Low,-0.042,High,-0.07,0.095,"Wang, T.; Wei, D.; Jiang, Z.; Xia, X.; Wu, Y.; Han, Z.; Qu, Y.; Hu, Y.; Fuller, B.T. Wang, Tingting (57417854200); Wei, Dong (56440735100); Jiang, Zhilong (57750095600); Xia, Xiumin (57657247200); Wu,"
study_0308,"Borisov, A",2022,Archaeology,0.526,Landscape Archaeology,0.49,Settlement Archaeology,0.459,Southern Levant,0.203,Egypt,0.17,Sinai,0.087,Low,-0.047,Medium,-0.048,High,-0.048,0.228,"Borisov, A.; Korobov, D.S.; Sergeev, A.; Kashirskaya, N.N. Borisov, Aleksandr V. (34567600900); Korobov, Von Dmitrij Sergeevič (38161760600); Sergeev, Alexey Yu (57213592432); Kashirskaya, N. N. (1506"
study_0309,"Janovský, M",2045,Stratigraphy,0.293,Isotope Geochemistry,0.261,Epigraphy,0.241,Egypt,0.094,Sinai,0.093,Southern Levant,0.012,High,0.005,Low,0.003,Medium,-0.038,0.131,"Janovský, M.P.; Horák, J.; Ackermann, O.; Tavger, A.; Cassuto, D.; Šmejda, L.; Hejcman, M.; Anker, Y.; Shai, I. Janovský, Martin Petr (57204540855); Horák, Jan (56053260300); Ackermann, Oren (66028048"
study_0310,"Nowak, K",1917,Archaeology,0.419,Stratigraphy,0.382,Paleography,0.332,Southern Levant,0.113,Egypt,0.112,Sinai,0.065,Medium,0.016,Low,-0.046,High,-0.053,0.183,"Nowak, K.; Stos-Gale, Z.A.; Stolarczyk, T.; Miazga, B. Nowak, Kamil (56191782500); Stos-Gale, Zofia Anna (6602480094); Stolarczyk, Tomasz (56414598500); Miazga, Beata (8987721600) 56191782500; 6602480"
study_0311,"Lankton, J",2022,Archaeology,0.458,Settlement Archaeology,0.429,Cognitive Archaeology,0.377,Southern Levant,0.1,Egypt,0.089,Sinai,0.069,Medium,0.024,High,-0.012,Low,-0.018,0.194,"Lankton, J.W.; Pulak, C.; Gratuze, B. Lankton, James W. (26428210200); Pulak, Cemal (35764691700); Gratuze, Bernard (6506982186) 26428210200; 35764691700; 6506982186 Glass ingots from the Uluburun shi"
study_0312,"Gavranović, M",1927,Stratigraphy,0.26,Epigraphy,0.258,Isotope Geochemistry,0.244,Sinai,0.202,Southern Levant,0.193,Egypt,0.162,High,0.073,Low,0.042,Medium,0.035,0.178,"Gavranović, M.; Mehofer, M.; Kapuran, A.; Koledin, J.; Mitrović, J.; Papazovska, A.; Pravidur, A.; Orđević, A.; Jacanović, D. Gavranović, Mario (42161321600); Mehofer, Mathias (35092874300); Kapuran, "
study_0313,"Albizuri, S",2054,Zooarchaeology,0.351,Bioarchaeology,0.304,Paleoclimatology,0.246,Southern Levant,0.133,Egypt,0.051,Sinai,-0.015,Medium,0.081,Low,0.057,High,0.044,0.189,"Albizuri, S.; Grandal-d’Anglade, A.; López-Cachero, F.J. Albizuri, Silvia (55488738000); Grandal-d’Anglade, Aurora (57205470684); López-Cachero, F. Javier (26646711900) 55488738000; 57205470684; 26646"
study_0314,"Kot, M",1901,Stratigraphy,0.233,Epigraphy,0.222,Bioarchaeology,0.204,Southern Levant,0.181,Sinai,0.118,Egypt,0.065,High,0.019,Low,0.005,Medium,-0.027,0.144,"Kot, M.; Gryczewska, N.; Szymanek, M.; Moskal-del Hoyo, M.; Szeliga, M.; Berto, C.; Wojenka, M.; Krajcarz, M.; Krajcarz, M.T.; Wertz, K.; Fedorowicz, S.; Jaskulska, E.; Pilcicka-Ciura, H. Kot, Małgorz"
study_0315,"Nonat, L",1926,Historical Geography,0.357,Stratigraphy,0.274,Geoarchaeology,0.269,Southern Levant,0.276,Egypt,0.181,Sinai,0.166,Medium,-0.004,Low,-0.02,High,-0.047,0.21,"Nonat, L.; Prieto Martínez, M.P.P.; Liz, P.V. Nonat, Laure (57355040500); Prieto Martínez, Maria Pilar (16158037500); Liz, Pablo Vázquez (57192677668) 57355040500; 16158037500; 57192677668 The funerar"
study_0316,"Blanchet, S",1988,Archaeology,0.433,Settlement Archaeology,0.41,Cognitive Archaeology,0.376,Southern Levant,0.174,Egypt,0.115,Sinai,0.075,Medium,0.069,High,0.021,Low,0.016,0.225,"Blanchet, S.; la Collaboration de Pihuit, A.P. Blanchet, Stéphane (52963329300); la Collaboration de Pihuit, Avec Patrick (59676198800) 52963329300; 59676198800 The funerary practices of the middle an"
study_0317,"Berger, D",2098,Radiocarbon Chronology,0.439,Isotope Geochemistry,0.376,Archaeology,0.366,Southern Levant,0.114,Sinai,0.084,Egypt,0.072,Medium,0.012,High,-0.042,Low,-0.045,0.188,"Berger, D.; Wang, Q.; Brügmann, G.; Lockhoff, N.; Roberts, B.W.; Pernicka, E. Berger, Daniel (56539352300); Wang, Quanyu (57215507968); Brügmann, Gerhard E. (7003762925); Lockhoff, Nicole (57209826528"
study_0318,"Yahalom-Mack, N",1946,Archaeology,0.416,Radiocarbon Chronology,0.382,Isotope Geochemistry,0.333,Southern Levant,0.132,Sinai,0.086,Egypt,0.079,High,0.037,Medium,0.007,Low,-0.009,0.195,"Yahalom-Mack, N.; Finn, D.M.; Erel, Y.; Tirosh, O.; Galili, E.; Yasur-Landau, A. Yahalom-Mack, Naama (54781946400); Finn, Daniel M. (57382724700); Erel, Yigal (7004222436); Tirosh, Ofir (55389396600);"
study_0321,"Connelly, J",1957,Comparative Mythology,0.305,Archaeology,0.304,Epigraphy,0.29,Sinai,0.182,Egypt,0.174,Southern Levant,0.135,Medium,0.048,High,0.008,Low,0.004,0.178,"Connelly, J.B. Connelly, Joan Breton (57195751200) 57195751200 Portrait of a Priestess: Women and Ritual in Ancient Greece 2022 1 446 0 https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199630293&"
study_0319,"Patterson, N",2049,Meta-Analysis,0.175,Statistical Synthesis,0.12,Ceramic Analysis,0.107,Sinai,-0.017,Southern Levant,-0.079,Egypt,-0.122,High,0.046,Low,0.039,Medium,0.004,0.068,"Patterson, N.; Isakov, M.; Booth, T.; Büster, L.; Fischer, C.-E.; Olalde, I.; Ringbauer, H.; Akbari, A.; Cheronet, O.; Bleasdale, M.; Adamski, N.; Altena, E.; Bernardos, R.; Brace, S.; Broomandkhoshba"
study_0322,"Grabbe, L",2022,Radiocarbon Chronology,0.27,Archaeology,0.259,Settlement Archaeology,0.24,Southern Levant,0.349,Sinai,0.278,Egypt,0.211,High,0.095,Medium,0.002,Low,-0.001,0.238,"Grabbe, L.L. Grabbe, Lester L. (26037996800) 26037996800 THE DAWN OF ISRAEL: A HISTORY OF CANAAN IN THE SECOND MILLENNIUM BCE 2022 1 356 0 https://www.scopus.com/inward/record.uri?eid=2-s2.0-851938822"
study_0320,"Özkan, A",2022,Philology,0.31,Archaeology,0.293,Geoarchaeology,0.281,Egypt,0.257,Southern Levant,0.107,Sinai,0.062,High,-0.0,Medium,-0.024,Low,-0.053,0.189,"Özkan, A. Özkan, Ali (59651669500) 59651669500 New Findings from Tire and Mount Kartal; Tire ve Kartal Dağı’ndaki Yeni Tespitler 2022 Anadolu Arastirmalari 27 151 173 0 10.26650/anar.2022.1117141 http"
study_0323,"Eftimovski, I",1856,Geoarchaeology,0.371,Archaeology,0.316,Historical Geography,0.307,Egypt,0.28,Southern Levant,0.255,Sinai,0.228,Low,0.024,Medium,0.017,High,0.007,0.225,"Eftimovski, I. Eftimovski, Igor (58185691600) 58185691600 THE ECONOMIC BASIS OF THE OHRID-PRESPA-MALIQ LAKE REGION IN THE 1ST MILLENNIUM BCE 2022 Ziva Antika 72 1-2 261 286 0 10.47054/ZIVA22721-2261e "
study_0325,"Teodoro, M",2000,Archaeology,0.418,Paleography,0.375,Historical Geography,0.346,Egypt,0.455,Sinai,0.328,Southern Levant,0.223,High,-0.052,Low,-0.071,Medium,-0.077,0.274,"Teodoro, M.D. Teodoro, Micòl Di (58629311300) 58629311300 The Preservation of Monuments in the Written Sources of Dynastic Egypt between 2000 and 1550 BC 2022 Middle Kingdom Studies 12 81 99 0 https:/"
study_0324,"Chechushkov, I",1921,Isotope Geochemistry,0.269,Geoarchaeology,0.23,Stratigraphy,0.227,Egypt,0.188,Southern Levant,0.082,Sinai,0.062,Low,0.003,High,0.003,Medium,-0.0,0.153,"Chechushkov, I.V.; Semyan, I.A. Chechushkov, I. V. (55151581300); Semyan, Ivan A. (57192106140) 55151581300; 57192106140 EXPERIMENTAL STUDY OF THE STEPPE CHARIOT (Based on materials from the Sintashta"
study_0326,"Radić Rossi, I",2022,Archaeology,0.468,Cognitive Archaeology,0.408,Settlement Archaeology,0.408,Southern Levant,0.179,Egypt,0.157,Sinai,0.103,High,0.03,Low,0.022,Medium,-0.028,0.226,"Radić Rossi, I.R.; Arena, A. Radić Rossi, Irena (49664049900); Arena, Alberta (57491024800) 49664049900; 57491024800 PREHISTORIC POTTERY FROM THE DEEP SEA ALONG THE EASTERN ADRIATIC COAST 2022 Archaeo"
study_0328,"Eid, A",2022,Archaeology,0.383,Epigraphy,0.319,Paleography,0.293,Egypt,0.439,Sinai,0.303,Southern Levant,0.234,Medium,0.046,High,0.046,Low,-0.012,0.289,"Eid, A.H. Eid, Ali Hassan (58510346500) 58510346500 The Journey from Authenticity to Forgery: A Case-study on an Adzeblade (Egyptian Museum Cairo JE 67944) of the Thirteenth Dynasty 2022 Middle Kingdo"
study_0327,"Kazarnitsky, A",1870,Paleography,0.478,Archaeology,0.464,Paleoclimatology,0.459,Southern Levant,0.2,Egypt,0.175,Sinai,0.119,Medium,-0.006,Low,-0.024,High,-0.029,0.224,"Kazarnitsky, A.A. Kazarnitsky, Alexei A. (36473518700) 36473518700 Craniological data on migrations from the West to Eastern Europe in the Post-Catacomb period 2022 Camera Praehistorica 2022 2 134 144"
study_0329,"Tarbay, J",2022,Archaeology,0.411,Artifact Typology,0.355,Cognitive Archaeology,0.334,Egypt,0.187,Southern Levant,0.121,Sinai,0.062,Low,0.009,High,0.0,Medium,-0.01,0.202,"Tarbay, J.G. Tarbay, János Gábor (57160299600) 57160299600 A Late Bronze Age ‘Hoard’ and Metal Stray Finds from Tiszalök-Rázompuszta (Szabolcs-Szatmár-Bereg County, Hungary) Artefacts from the Protect"
study_0330,"Soriano, E",1922,Stratigraphy,0.416,Archaeology,0.37,Radiocarbon Chronology,0.37,Southern Levant,0.23,Sinai,0.174,Egypt,0.164,High,0.094,Medium,0.044,Low,0.037,0.246,"Soriano, E.; Fontanals, N.R.; Marín, D.; Cattin, F. Soriano, Eni (56485729200); Fontanals, Núria Rafel (60126590100); Marín, Dioscórides (57192270436); Cattin, Florence (36999844000) 56485729200; 6012"
study_0331,"Agulnikov, S",2022,Paleoclimatology,0.408,Isotope Geochemistry,0.403,Radiocarbon Chronology,0.369,Southern Levant,0.149,Egypt,0.143,Sinai,0.098,Medium,0.045,High,0.043,Low,0.013,0.201,"Agulnikov, S. Agulnikov, Serghei M. (57212841555) 57212841555 Late Bronze Age complexes of the Căplani I-La Yurt settlement in the North-East of the Budjak steppe; Complexe ale epocii bronzului târziu"
study_0332,"Kolesnikov, R",1903,Geoarchaeology,0.484,Stratigraphy,0.457,Isotope Geochemistry,0.366,Southern Levant,0.18,Sinai,0.13,Egypt,0.13,Low,-0.024,Medium,-0.033,High,-0.055,0.213,"Kolesnikov, R.; Tupakhina, O.; Tupakhin, D.; Plekhanova, L. Kolesnikov, Roman Aleksandrovich (57190337973); Tupakhina, Olga S. (58154189500); Tupakhin, Daniil S. (57216822726); Plekhanova, L. N. (9244"
study_0334,"Parker, H",2022,Epigraphy,0.434,Archaeology,0.404,Stratigraphy,0.359,Sinai,0.439,Southern Levant,0.413,Egypt,0.282,High,0.013,Medium,-0.018,Low,-0.034,0.295,"Parker, H. Parker, Hope (58144094200) 58144094200 THE PROTO-SINAITIC INSCRIPTIONS AT SERABIT EL-KHADIM IN THEIR ARCHAEOLOGICAL CONTEXT: DATE AND FUNCTION 2022 Agypten und Levante 32 269 311 0 10.1553/"
study_0333,"Merrillees, R",1867,Epigraphy,0.35,Paleobotany,0.249,Paleoclimatology,0.242,Egypt,0.35,Sinai,0.285,Southern Levant,0.171,High,0.089,Low,0.037,Medium,-0.013,0.263,"Merrillees, R. Merrillees, Robert S. (55318674800) 55318674800 A RED LUSTROUS WHEEL-MADE SPINDLE BOTTLE WITH AN EGYPTIAN HIEROGLYPHIC INSCRIPTION IN THE EGYPT CENTRE, SWANSEA UNIVERSITY, WALES 2022 Ag"
study_0335,"Mishchenko, A",2022,Archaeology,0.409,Isotope Geochemistry,0.387,Stratigraphy,0.37,Egypt,0.236,Sinai,0.155,Southern Levant,0.115,High,0.068,Low,0.009,Medium,0.006,0.238,"Mishchenko, A.I. Mishchenko, Anastasia I. (58117644600) 58117644600 THE PROBLEM OF ARCHAEOLOGICAL STUDY OF THE FINAL STAGE OF HITTITE KINGDOM HISTORY: HISTORIOGRAPHICAL ASPECT; ПРОБЛЕМА АРХЕОЛОГИЧЕСКО"
study_0336,"Horejs, B",2005,Epigraphy,0.231,Meta-Analysis,0.188,Paleobotany,0.187,Sinai,0.141,Southern Levant,0.135,Egypt,0.077,High,0.106,Medium,0.088,Low,0.068,0.159,"Horejs, B.; Bulatović, A.; Bulatović, J.; Burke, C.; Brandl, M.; Dietrich, L.; Filipović, D.; Milic, B.; Mladenovic, O.; Schinnerl, N.; Schroedter, T.M.; Webster, L.C. Horejs, Barbara (39261734000); B"
study_0337,"Eriksen, M",2022,Archaeology,0.409,Settlement Archaeology,0.35,Cognitive Archaeology,0.317,Egypt,0.104,Southern Levant,0.068,Sinai,0.067,Low,-0.012,Medium,-0.025,High,-0.05,0.167,"Eriksen, M.H. Eriksen, Marianne Hem (55931060800) 55931060800 Body-Worldings of Later Scandinavian Prehistory Making Oddkin with Two Body-Objects 2022 Current Swedish Archaeology 30 65 94 0 10.37718/C"
study_0338,"Grigoriev, S",2022,Radiocarbon Chronology,0.416,Isotope Geochemistry,0.387,Volcanology,0.383,Egypt,0.156,Sinai,0.115,Southern Levant,0.111,High,0.019,Low,-0.018,Medium,-0.023,0.197,"Grigoriev, S. Grigoriev, Stanislav A. (36971467300) 36971467300 CHRONOLOGY OF THE SEIMA-TURBINO BRONZES BASED ON NEAR EASTERN AND CHINESE SOURCES AND THE DATING OF THE SANTORINI ERUPTION; ХРОНОЛОГИЯ С"
